Ranking:	Tweet:	Score:
0	Trump and DeJoy committed multiple crimes attempting to steal this election. I hope they both end up spending decad… https://t.co/eeU5Z3JkUF	0.7071
1	Biden didn’t steal an election. Soros &amp; Deep State attempted this theft. Trump was Draining the Swamp, &amp; they feare… https://t.co/FxxNQ7neAv	0.7071
2	BEST PRESIDENT TRUMP WON THE ELECTION IN A LANDSLIDE! DECLARE MARTIAL LAW IF THEY ATTEMPT TO STEAL IT FROM YOU, BEST PRESIDENT TRUMP!	0.7071
3	Wonder how many of these woke liberals who hate Trump will still support Biden's attempted election steal if it tur… https://t.co/JqzfwaXARH	0.7071
4	Republican U.S. judges choose Constitution over Trump as election fraud cases keep failing https://t.co/8iyOMgjaut… https://t.co/V5tOlieaay	0.6124
5	#TrumpFundRaisingFraud Trump Fundraising Surges After Election Amid False Claims It Was Rigged : Biden Transition U… https://t.co/bFb9vgj8Z2	0.6124
6	-2261094209435835393 1889898132415048221 . Trump campaign rallies led to more than 30,000 coronavirus cases, Stanford researchers say https://t.co/bZFJdIwnNj	0.6124
7	US jobs market recovery slows amid surge in Covid-19 cases https://t.co/iqFgyvkCeF &lt; I can't imagine Trump allowing… https://t.co/4C5uaU9NWp	0.6124
8	Republican U.S. judges choose Constitution over Trump as election fraud cases keep failing https://t.co/fAaTFqXhYi… https://t.co/km4KwqIlgU	0.6124
9	New story on NPR: Trump Fundraising Surges After Election As He Makes False Claims It Was Rigged Politics https://t.co/G3GcfXgASM	0.6124
10	505550354698592877 Sick to death of you republicans demonizing Democrats. You sit silently as trump attempts to steal the e… https://t.co/eb7cNk0hpi	0.6124
11	Republican U.S. judges choose Constitution over Trump as election fraud cases keep failing https://t.co/g8wP7LZJ4v… https://t.co/LYyVJuqMSv	0.6124
12	Two 4-3 WI Supreme Court rulings in a row denying attempts to overturn the election and hand Wisconsin to Trump. Th… https://t.co/5r44z7cyQT	0.6124
13	Watch Live: 8409303588865051295 Trump Legal Team Present Case at Georgia Senate Hearing on Election Fraud via 6471985988836791838 https://t.co/DPcDcNuMkO	0.6124
14	I'm going because... -Trump Won and the steal is on. -2016 may be the last fair presidential election. -I need to… https://t.co/PE8qYqicEE	0.6124
15	America elected 5242977819652901312 828184605434186088 wants to steal the election for Donald Trump. Let him know how you feel abo… https://t.co/80fpxFierS	0.6124
16	Wisconsin Supreme Court denies Trump campaign's attempt to bypass lower court in election challenge https://t.co/wZGiy2ntrF	0.6124
17	#RubyFreeman, who is Anti Trump made a video showing how they are stealing the election, and thinks we are stupid i… https://t.co/IeZSpjwBQb	0.6124
18	Republican U.S. judges choose Constitution over Trump as election fraud cases keep failing https://t.co/S5zooUkJGL via 4015367890637197764	0.6124
19	7605035949853195811 https://t.co/Rs0JrOYbSw Geez Rudy, you won't be happy until YOU &amp; Trump steal this election. I gotta… https://t.co/5dJ5pEC7bW	0.6124
