Ranking:	Tweet:	Score:
0	6297426012027796121 Biden must make a difference by decisively leading the fight against climate change or we may all g… https://t.co/6nuWbf9hZy	1.0
1	How should climate change be prioritized by the Biden Administration, particularly among other issues? Read… https://t.co/bsgehoYYAs	0.866
2	The Energy 202: Biden calls climate change an 'emergency.' Now he's under pressure to officially declare it one. https://t.co/8in6kdSKAh	0.866
3	me reading about covid numbers, terrible biden staffing choices, climate change predictions, etc. all in the same m… https://t.co/XkV4uqFxWC	0.866
4	va 1086843961687710144 Biden calls climate change an ‘emergency.’ Now he’s under pressure to officially declare it one.:… https://t.co/JgBbCFGaCV	0.866
5	"Biden calls climate change an ""emergency"" — and now he's under pressure from some activists to officially declare i… https://t.co/bPrB75oh9B"	0.866
6	Green New Deal or not, Joe Biden's administration changes the climate game for everyone in the world, -1710031400848606148 https://t.co/1NNcvJ2l3E	0.866
7	‘Alarming’ for Biden to consider ‘wacky’ proposals to change Supreme Court: Jonathan Turley https://t.co/sIIr1BmlPt	0.7071
8	Opinion | A climate catastrophe is upon us. Biden can still make a difference. https://t.co/peZqHndRGq	0.7071
9	Multiply this —&gt; climate change. The pandemic is a foreshadowing of what defying the science on climate change will… https://t.co/JnUmKD4LH0	0.7071
10	3907145643307356765 -540544631778250657 I’m not being political. Just pointing out that Joe Biden has a history of challenging people to fights.	0.7071
11	642319029977076935 If they would have made their way to the counters, they would have miraculously changed to CCP Stoolie Biden.	0.7071
12	-2204824926492920713 -8037125131728805462 The people have spoken, Biden won. If you think you're going to fight you're going… https://t.co/earZeYnJXH	0.7071
13	-1286444546930193849 5560566465560855980 The voting machines changed our votes to Biden! A vote in this corrupt rigged electi… https://t.co/acSYI2GANo	0.7071
14	-5757592165399500103 Meanwhile, from our new Biden Administration: If we are going to tackle the climate crisis, then solu… https://t.co/SetkY1T4NP	0.7071
15	Biden supporters who hate Trump: If you can’t change your mind, are you sure you still have one?...	0.7071
16	Opinion | A climate catastrophe is upon us. Biden can still make a difference. https://t.co/Vlx6qXqPCN	0.7071
17	-1886516985545084244 Meanwhile, from our new Biden Administration: If we are going to tackle the climate crisis, then solu… https://t.co/bguiUtKu0X	0.7071
18	6999760673561454301 2729211228592134295 No danger of a Biden cult. He inspires all the enthusiasm of a man desperately fighting sleep.	0.7071
19	Trump acknowledges climate change — at his golf course - Politico https://t.co/ZEE7uPvydr https://t.co/b6k9DyTv9P	0.7071
