Ranking:	Tweet:	Score:
0	9/Public Citizen has developed a modest list of proposed actions that President Biden could take to realize his com… https://t.co/3QCTuOEMsX	1.0
1	Biden didn’t win any State! The voters must stand up and take action!	1.0
2	Do not do it. Let them take the debt when BIDEN steps in. They did not want to see you succeed, they will blame the… https://t.co/Uy5Rd8Lb8m	0.8165
3	I think you need to start worrying more about what is coming for you after Joe Biden takes office! I have a strange… https://t.co/jgZD5vtqkl	0.8165
4	-8567859088602708512 I wonder how long it will take to expose the 500k algorithm added votes for Biden in VA?	0.8165
5	Why did Biden say he would take the Vaccine if Fauci said so, Dr Fauci isn’t his personal Doctor?	0.8165
6	Note that Obama was involved in this Iranian nuclear deal &amp; now his mate Biden is about to take over--Hmmm !!	0.8165
7	-2283321744635925646 1746797938386943999 -8037125131728805462 1889898132415048221 🤣🤣🤣🤣 it takes more faith to believe Biden won than it takes to believ… https://t.co/Y1yeHdiZyZ	0.8165
8	8541094231480543759 460994461305177095 Yes you are right. Its not in stone, But When Biden takes over it is possible. Joe s… https://t.co/RL4yBCSg5V	0.8165
9	-444575731620090384 And congress will simply override Trump anyway or let Biden sign it when takes to office.	0.8165
10	-8037125131728805462 We will as soon as we take out the trash and fumigate the White House for President Biden and Vice President Harris.	0.8165
11	Biden says when he takes office he will ask the American public for 100 days of wearing masks.	0.8165
12	Biden is just trying to figure out how to take credit for the vaccines developed under Trump’s Operation Warp Speed.	0.8165
13	“There are a lot of massive injustices that Biden will have to undo, and that will take time. But canceling these c… https://t.co/M6QL2mHhAL	0.8165
14	7986217010840848542 3645492225925292662 Since it’s a political appointment, he’ll be out as soon as Biden takes office.	0.8165
15	it will be when biden take the office over on 1 20 21 pack your shit and get out you fucking dictator	0.8165
16	The Biden Administration must pursue progressive antitrust executive actions to #CrackdownonCorruption. 1/5 https://t.co/ys4eJrR5j3.	0.8165
17	-6982836172102157172 Biden should not be president so take it to the Supreme Court you'll will what a real judge will rule for democracy.	0.8165
18	**BOMBSHELL Edison Analysis - BIDEN takes 98% of a 23,487 vote batch at 12:18AM - Impossible!**	0.8165
19	If the Democrats do not take the Senate, McConnell will kill Biden Administration legislation &amp; judicial picks.	0.8165
