Ranking:	Tweet:	Score:
0	Florida GOP official: Third-party candidates help Republicans win ‘many’ elections https://t.co/HGo1RGaSrB #politicalhedge	1.0
1	Biden says GOP senators have called to congratulate him on election 2020 win https://t.co/yqSKYrsJl3 https://t.co/qFjEJEC7mV	1.0
2	Has the GOP let us know how many times -3677266051800447821 must win to make the election official or do we just keep going un… https://t.co/D3dDfg6MXI	1.0
3	So let me get this straight. Trump was winning on election night in Georgia then GOP watchers &amp; Media were told to… https://t.co/RLyPFDp0Ev	1.0
4	-5494490925016306637 I remember when u said Trump was going to win the election 🤣🤣🤣... good times	0.8165
5	-4934833051476554525 The GOP is rotten to the core.... Remember before the election all they could talk about was Hunter Bi… https://t.co/wKnnlDQHeP	0.8165
6	https://t.co/8jynyqB9vM Biden says multiple Republican senators have called to congratulate him on election win https://t.co/1BjkqOkHK9	0.8165
7	Twitter... You are laughable!! Yes... Trump did win! Msm.. Cannot call an election, dumb a&amp;$	0.8165
8	Best case scenario BUT again, dems have been winning more from gop self destriction than dem strength &amp; messaging	0.8165
9	-6669405763788993166 2438824582228098784 The Kenyan constitution says a Presidential candidate can win an election by just get… https://t.co/PaYaZPiqF6	0.8165
10	-3815806503450777941 GOP needs to Expose the Fraud in our election process. If this does not change the RINO’s are commit… https://t.co/DBT3WNKxri	0.8165
11	-8037125131728805462 -3413397931463716825 4964842426100154761 4356914259535022229 THE GOP RIGGED THE ELECTION AGAINST TRUMP! AGAINST US! 𝐖𝐄… https://t.co/oZg1o4nxgy	0.8165
12	Rick Scott: Trump's Florida Win Is Lesson for the GOP https://t.co/18IHsMF8xp #Newsmax via -1913522418552793569	0.8165
13	-8037125131728805462 6819016555826676731 The election is over fatman, you lost. You, and the GOP, are acting like fascists. Th… https://t.co/kcaO7wqV3T	0.8165
14	Nancy and Chuck have been idiots many times. They don’t want to be idiots again. They want to win elections. While… https://t.co/xSgKdPDLJW	0.8165
15	-5084727573569209606 7766468794297214439 -898333334140674041 The fraud is the illusion the GOP couldnt pull off. Sorry about your loss in the election.	0.8165
16	6263113864947856093 4742290169482103763 2917100196888629357 -5258823609781205328 -3392494536933982756 gop are all over the place, there’s gop election o… https://t.co/xM8au4hBYg	0.8165
17	🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨 Is this TOO DIFFICULT to understand, GOP politicians??? Fight the election fraud or few will show up t… https://t.co/mcsF3rDcUZ	0.8165
18	7763125387137014104 -2401475807528415049 -8526192373358170693 He had his GOP stooges, rig the election in his favour. So confident was… https://t.co/JEQKo9euVp	0.8165
19	"More powerful? They already choose who wins the election and people all over the world take it as gospel. The ""Bi… https://t.co/R7G3NEZP3h"	0.8165
