Ranking:	Tweet:	Score:
0	It is my conviction that Dems errored by not making the election all about Trump's corrupt and the GOP for enabling… https://t.co/Xc2UKc8rxG	0.866
1	-8783550102321346064 I say, they should just annulliert the whole Thing. There was NO election on 03. Nov 2020. Trump s… https://t.co/ZDsLe3O72S	0.866
2	Trump, Giuliani Say Georgia Election Video Shows Cheating https://t.co/ocaeJUSvwh via -7566617734506807034	0.866
3	6452262509936274534 Funny how now that the election is behind us , everyone is saying exactly what President Trump has… https://t.co/EQD8Jl20ha	0.866
4	See something, say something!! Fraud Abound! Donald J. Trump is our Duly Elected President! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸… https://t.co/w58WHPPFRB	0.866
5	Don’t understand why the TV media Keep saying Trump False claims election fraud when you can see it in plain sigh… https://t.co/6vKJWBTyB6	0.866
6	5006874107986988151 Um I would say most if not all 80+ million Americans who voted for Trump think this election was stolen.✌	0.866
7	-3413397931463716825 -7823259298732348457 -1286444546930193849 Didn’t that there Perdue fella say that Trump lost the election? I’m gon go ah… https://t.co/7jGitpiPKr	0.866
8	Wisconsin Supreme Court Ducks Trump Campaign Claims of Election Improprieties https://t.co/wiMVXYvPfd. WISC COURT IS CORRUPT. RT	0.866
9	"Hold Up: A Trump Election Fraud Witness Says Voter ID Is Necessary Because ""All Chinese Look Alike""! https://t.co/o86MOkdEfw"	0.866
10	"6535653910313849717 -7085380960733708563 -8037125131728805462 Probably not! ""Trump says his election challenges probably won’t make it… https://t.co/31CI7zgSQQ"	0.866
11	-6006228579372455772 Fake news what President Trump is saying is he is preparing us for martial law to hold another election in… https://t.co/Rhv5Mg0ro7	0.866
12	Trump saying the same thing over and over, crying bogus election fraud, to courts, over and over, expected a differ… https://t.co/UI3YnHrHD5	0.866
13	-5264101347923515495 -2434548145464667436 1746797938386943999 -8037125131728805462 Oh you’re saying trump lost the election ? I agree https://t.co/HHdy9ZSsij	0.866
14	2585283368088810908 860531040363806753 Lets say the election circumstances stayed the same EXCEPT Trump won .....would it… https://t.co/KlfNcaefQR	0.866
15	And your 5 followers are still trying to figure out how Trump can win the election. I would say Peace &amp; Long Life,… https://t.co/j1Oc0NQHnB	0.866
16	People in line at the grocery store really saying trump won the election lmao Long Island is wild	0.866
17	"📰🆕Hold Up: A Trump Election Fraud Witness Says Voter ID Is Necessary Because ""All Chinese Look Alike""!… https://t.co/oiMvXSIYZ6"	0.866
18	Saying Dems stole the election is calling the Trump administration incompetent. You're saying they knew of impendi… https://t.co/Jx0SC177YR	0.866
19	"-8037125131728805462 Remember when trump kept saying this right before the electing? ""We're rounding the corner."" COVID… https://t.co/Y1qDH8BTZX"	0.866
