Ranking:	Tweet:	Score:
0	GOP, Democrats Allow Mike Lee's Outsourcing Bill to Pass Senate https://t.co/tF7H58L26b via 1951027057434834082	0.3651
1	TUCKER CALLS OUT MIKE LEE OUTSOURCING SNEAK SENATE GOP TRYING TO PACK FOREIGN WORKERS INTO U.S. JOBS WHILE 18M AME… https://t.co/R8uZZAquhZ	0.3651
2	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/6jGZ1ARZg0	0.3162
3	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/UsUJYGoxEx	0.3162
4	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/F0bJ3c8TUk	0.3162
5	GOP, Democrats Allow Mike Lee‘s Outsourcing Bill to Pass Senate https://t.co/TSVqQ8NiBn via 1951027057434834082	0.3162
6	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/dyp1IXjB2O	0.3162
7	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/dmF8oPt5HS	0.3162
8	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/zpw8i53cRB	0.3162
9	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/Reyq02gHoT	0.3162
10	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/ytTllRdCUS	0.3162
11	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/kj2L6EXpqI	0.3162
12	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/nnolHi7zcr	0.3162
13	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/aCqYFGzjjC	0.3162
14	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/yUJsZY8JuW	0.3162
15	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/tNSyhzIfDw	0.3162
16	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/z7wGmzJA4R	0.3162
17	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/d2iO766eCs	0.3162
18	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/4m2RimkPMa	0.3162
19	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/okEu6PSHtS	0.3162
