Ranking:	Tweet:	Score:
0	5006874107986988151 Long list of GOP losers (Jordan) refusing to accept election results Some are seditiously claiming the… https://t.co/kvjLUhGBha	0.378
1	-2664657085891663751 The election results was rigged..no dought! Impeach Joe Biden and Harris asasp! We don't need elect… https://t.co/z0fRYoBDpC	0.378
2	-3464614928640339544 Dude this is fake like trump's fraud election claims, just stop it! The real results will be when final software is ready.	0.378
3	Bill Barr Squarely Contradicts Trump - Says There's NO Voter Fraud Undermining the Election Results. Bill Barr bett… https://t.co/HZAAiLjDOe	0.378
4	-1227763085812828095 5006874107986988151 recap: ▪︎Trump said election will be rigged if he lost. ▪︎Trump LOST but claims he won… https://t.co/1wGUnHOMlV	0.378
5	"""No evidence of election fraud"", ""Claim of election fraud is disputed"", ""election was fair, honest, legal election""… https://t.co/xXX0W6cCw9"	0.378
6	-332345427562249690 recap: ▪︎Trump said election will be rigged if he lost. ▪︎Trump LOST but claims he won, tells suppor… https://t.co/9qxEJbcVAF	0.378
7	3248090626757401008 recap: ▪︎Trump said election will be rigged if he lost. ▪︎Trump LOST but claims he won, tells supporters NOT… https://t.co/tNcuWU9j5m	0.378
8	This is not a Presidential Election! We cannot accept the results and we cannot allow Biden to steal this election!… https://t.co/poTXxU5B7P	0.378
9	-1823043406604453224 An experienced astronomer told me: This election will be declared invalid because of that damn software B… https://t.co/uvC85D1bu7	0.3086
10	2477920626487230117 -2664657085891663751 To be fair, denying the results of an election where the people spoke loudly and clearly… https://t.co/az4geXFUGr	0.3086
11	Trump said world leaders complained to him about the election results — but most of them have already congratulated… https://t.co/HaY4JKSJEE	0.3086
12	Trump has continued to push baseless claims that the election was fraudulent despite being contradicted by his own… https://t.co/USeTd1Eiea	0.3086
13	4043348635938669458 You should begin by backing Trump's claim of a stolen election! He was far more pro-life then either of these clowns.	0.3086
14	Claims Of Election Fraud In Nevada Are About To Get A Hearing In Court https://t.co/qnjlLusdBt	0.3086
15	-1398848016350847138 -5827835413144434390 2832292594216803122 Then in America we have a President-elect and VP elect claiming they don't thin… https://t.co/Gs3KTGrbrj	0.3086
16	UPDATE: Fox News is back up with full coverage of the Nevada election results investigation. Lol	0.3086
17	-5494490925016306637 I’m boycotting the Georgia election until the Governor does his job and overturns these fraudulent elec… https://t.co/XaoXpLjRpg	0.3086
18	Lets not forget about #DiaperDon. He is still crying over the election results from over a month ago...poor poopoo… https://t.co/aHHoq0yfGK	0.3086
19	"""Now that the election is over, it’s time to move on to the next political fight in #Wisconsin. The results from th… https://t.co/XEPXBMnpzI"	0.3086
