Ranking:	Tweet:	Score:
0	Schumer, Biden Agree On Students Access To Sports, Bathrooms, Locker Rooms https://t.co/1jhCe6mc4L via -2836227508887234467	0.4867
1	NEW REPORT: Schumer, Biden Agree On Students Access To Sports, Bathrooms, Locker Rooms TAP HERE:… https://t.co/QW293w9zMZ	0.4867
2	Schumer Says He Agrees With Biden On Giving Transgender Students Access To Sports, Bathrooms, And Locker Rooms… https://t.co/rjqaWbopNW	0.4867
3	2424263115276635636 3277471093472701212 Chances Biden can't remember his way to the bathroom from the oval office after being there 8 years.... 100%	0.4867
4	This is a video of a naked Joe Biden breaking his foot in the bathroom on his dog’s tail. https://t.co/DeK1kFOdjB	0.4683
5	Chuck Schumer Endorses Biden's Plan To Force Public Schools To Allow Males In Female Bathrooms https://t.co/xWxhF2Bejq	0.4683
6	Chuck Schumer Endorses Biden's Plan To Force Public Schools To Allow Males In Female Bathrooms https://t.co/WXTODvfFrw	0.4683
7	joe biden falling in the bathroom and breaking a bone has earned him 8281368103842358945 support, as he can finally see h… https://t.co/B6zwPrQDpY	0.4683
8	Joe Biden &amp; Chuck Schumer are proposing gender neutral bathroom policies which put women &amp; children at risk, says… https://t.co/FZeFY3Cbn5	0.4683
9	2858712240187096083 Duh. She was busy chasing Biden's dog through the bathroom, you fools!	0.4683
10	Today's headline: Naked Joe Biden chases dog around in the bathroom.	0.4683
11	"who had ""naked Joe Biden chasing a dog around the bathroom"" on their BINGO card?"	0.4683
12	Chuck Schumer Endorses Biden’s Plan To Force Public Schools To Allow Males In Female Bathrooms https://t.co/Wy4pUdG0Rp	0.4588
13	Did anyone ask why he tortured a dog by pulling its tail? Or better yet, why the dog was in the bathroom with him?	0.4588
14	This is every department and every area: The incoming Biden admin must quickly address a potentially dangerous [] p… https://t.co/08owDTWaLa	0.281
15	President-elect Joe Biden tells CNN's Jake Tapper he will ask Americans to wear masks for the first 100 days after… https://t.co/z0PMk7cUrx	0.281
16	The incoming Biden administration must quickly address a potentially dangerous intelligence problem the Trump admin… https://t.co/NYCwbO0fYw	0.281
17	Biden didn’t win any State! The voters must stand up and take action!	0.281
18	President-elect Joe Biden tells Jake Tapper he will ask all Americans to wear masks for first 100 days after taking office	0.281
19	9/Public Citizen has developed a modest list of proposed actions that President Biden could take to realize his com… https://t.co/3QCTuOEMsX	0.281
