Ranking:	Tweet:	Score:
0	Wisconsin Supreme Court denies Trump campaign's attempt to bypass lower court in election challenge https://t.co/wZGiy2ntrF	0.3484
1	Wisconsin Supreme Court denies Trump campaign's attempt to bypass lower court in election challenge - CBS News https://t.co/UdLHXhIu0H	0.3484
2	Article: Wisconsin Supreme Court denies Trump campaign's attempt to bypass lower court in election challenge Wiscon… https://t.co/MKwFhMsa1H	0.3484
3	A mysterious company created 9 months ago is the RNC’s highest paid vendor of the 2020 election | **Smells like tru… https://t.co/mlu128mw95	0.2956
4	4654726723416170137 3478383119810066469 Let's bypass the court and vote on Trump going to jail	0.2956
5	-2650652869123913533 -447665542079345813 Highest death rate was in your liberal shitholes, but blame Trump so you feel better.. yay… https://t.co/tL4orSGB20	0.2956
6	-80840323471332524 7892902446106120631 1967468403002310072 7928268346433101948 217,664 new coronavirus cases on Thursday, the highest number… https://t.co/J4tGZ9oPqt	0.2956
7	-729062019262466614 -5224265837464387962 Like Obama?...LOL. Trump: lowest unemployment, highest Stocks, fastest/ biggest Economi… https://t.co/QoHel7R1kJ	0.2844
8	7259780625138273678 In your blog, you wonder if Trump will start a cable channel. I do too. Or maybe promote OANN or Newsmax.… https://t.co/8zwP18beZ9	0.2844
9	1012480172284241167 As COVID-19 cases and deaths reach record numbers, the PANDEMIC OF MISINFORMATION blog has documented… https://t.co/I5Ar56z2XS	0.2844
10	4650306414082784937 As COVID-19 cases and deaths reach record numbers, the PANDEMIC OF MISINFORMATION blog has documented 142… https://t.co/hq03UVfiDP	0.2844
11	-7543793429668311368 As COVID-19 cases and deaths reach record numbers, the PANDEMIC OF MISINFORMATION blog has documente… https://t.co/lz12iySN0D	0.2844
12	-3348589109726522872 As COVID-19 cases and deaths reach record numbers, the PANDEMIC OF MISINFORMATION blog has documented 142… https://t.co/67YvcjDBmh	0.2844
13	1584006165198721546 As COVID-19 cases and deaths reach record numbers, the PANDEMIC OF MISINFORMATION blog has documente… https://t.co/GmuHg3rJMU	0.2844
14	6292468767362234117 As COVID-19 cases and deaths reach record numbers, the PANDEMIC OF MISINFORMATION blog has documented 142… https://t.co/jOH8DPvhSr	0.2844
15	7528974160732605503 As COVID-19 cases and deaths reach record numbers, the PANDEMIC OF MISINFORMATION blog has documented… https://t.co/LM8mQHDgo0	0.2844
16	3343689892715592465 As COVID-19 cases and deaths reach record numbers, the PANDEMIC OF MISINFORMATION blog has documented 1… https://t.co/pwCSGc1n7g	0.2844
17	🤔A mysterious company created 9 months ago is the RNC’s highest paid vendor of the 2020 election and many people ar… https://t.co/jdU43sespg	0.2844
18	It's truly remarkable: A 100-year pandemic is at its highest point of infection and lethality -- and the President… https://t.co/MxmQDkl6EW	0.2844
19	This thread has been expanded on in my blog and shows exactly how these criminals are connected to Trump. With rec… https://t.co/E9JldY4dML	0.2844
