Ranking:	Tweet:	Score:
0	This. Prayer is for. Jesus THANK. YOU. LORD. DEAR. LORDPLEASE. PUT A DEVINE COVERING OF PROTECTION OVER OUR. PR… https://t.co/0fnW49OkNF	0.4588
1	What? 😲. Thank the Lord God Almighty that Trump will be in office and we won't have to think about this farce!… https://t.co/lNYspU7geL	0.4588
2	-2186508183697083975 OH DEAR LORD! Thank God President Trump will still be in office for 4 more years !	0.4588
3	"Former congresswoman Michele Bachmann has a personal request for God: ""Lord, would you allow Donald Trump to have a… https://t.co/IIZDT5O8oa"	0.3974
4	I THANK YOU DEAR GOD THAT I AM NOT ANYONE IN THE MEDIA WHO HAS LIED ABOUT ME AS DONALD TRUMP I PRAY FOR THESE POOR… https://t.co/WVmtauVoDv	0.3974
5	Dear Jesus, Please give -8037125131728805462 4 more years. Thanks. -Concerned White “Evangelical”	0.3974
6	Thank God! 🙏🏼✝️ We the People have only heard of all these rescues under President Trump and we are so blessed to h… https://t.co/XwniAujrrL	0.3974
7	"Former congresswoman Michele Bachmann has a personal request for God: ""Lord, would you allow Donald Trump to have a… https://t.co/AC6rQnRdb1"	0.3974
8	-9147405775774415233 -8037125131728805462 1889898132415048221 Lord God, far be it from You to allow the 2020 USA presidential election to be stol… https://t.co/po9JVLd9lJ	0.3974
9	Thank God and bless Dr. Fauci.	0.3974
10	-7857457679517337940 -3073013356437015456 Lord God, far be it from You to allow the 2020 USA presidential election to be stolen fr… https://t.co/tcM3yp81sQ	0.3974
11	-7772412676239961143 -3073013356437015456 7442467424339696307 4738755334451997135 Lord God, far be it from You to allow the 2020 USA presidential election… https://t.co/Ow7viUpOKv	0.3974
12	8932908855733529296 8433399898335603241 Lord God, far be it from You to allow the 2020 USA presidential election to be stolen f… https://t.co/kHXQBKwOdn	0.3974
13	7605035949853195811 2232429948747342328 Lord God, far be it from You to allow the 2020 USA presidential election to be stolen fro… https://t.co/4OEBUUJuGd	0.3974
14	-9147405775774415233 Lord God, far be it from You to allow the 2020 USA presidential election to be stolen from President Trump… https://t.co/yyhxCBKqmB	0.3974
15	57937811002981014 Lord God, far be it from You to allow the 2020 USA presidential election to be stolen from President… https://t.co/X2iVpASVD8	0.3974
16	-6477689225673118859 Lord God, far be it from You to allow the 2020 USA presidential election to be stolen from President… https://t.co/c1cbK5RiNk	0.3974
17	-1120381227881786229 Lord God, far be it from You to allow the 2020 USA presidential election to be stolen from Presiden… https://t.co/gmlZXo5bxG	0.3974
18	6721363282287676882 Lord God, far be it from You to allow the 2020 USA presidential election to be stolen from President Tru… https://t.co/BwAsqAFjk3	0.3974
19	1616067445095402765 Lord God, far be it from You to allow the 2020 USA presidential election to be stolen from President… https://t.co/ai2WYejuP2	0.3974
