Ranking:	Tweet:	Score:
0	6297426012027796121 Biden must make a difference by decisively leading the fight against climate change or we may all g… https://t.co/6nuWbf9hZy	0.305
1	“Mr. Biden has pledged to return the U.S. to the Paris climate accord, which would be a boon to China.” Exactly. J… https://t.co/Mhb3igjJlX	0.305
2	1705834801447659525 Dear VP Biden, I’m sure you had nothing to do with the Rampant Voter Fraud that was perpetrated on the America… https://t.co/PWQaKpRrTx	0.2641
3	2884362314741432229 Joe Biden is made in china, But is a poor quality product, and will be returned to the place of origin.	0.2641
4	5006874107986988151 Then Mr. Jordan you and all the GOP needs to stand up and fight for our President and for us, the Ameri… https://t.co/GQtlDADriQ	0.2641
5	How should climate change be prioritized by the Biden Administration, particularly among other issues? Read… https://t.co/bsgehoYYAs	0.2641
6	2207367616244422320 5847466768437962263 -2664657085891663751 What was the court standing again? 1-42? 😂😂😂 Time to return to reality. Trump lost, Biden won.	0.2641
7	The Energy 202: Biden calls climate change an 'emergency.' Now he's under pressure to officially declare it one. https://t.co/8in6kdSKAh	0.2641
8	-5757592165399500103 Meanwhile, from our new Biden Administration: If we are going to tackle the climate crisis, then solu… https://t.co/SetkY1T4NP	0.2641
9	Biden Economic Adviser: Change the Constitution and Impose a Wealth Tax. At least she knows it is unconstitutional. https://t.co/TTLv9IHlOw	0.2641
10	Climate is front and center for the Biden transition team. https://t.co/EtKiihiMkV	0.2641
11	-1886516985545084244 Meanwhile, from our new Biden Administration: If we are going to tackle the climate crisis, then solu… https://t.co/bguiUtKu0X	0.2641
12	Trump should return the 61,545 votes to President-Elect Biden. Please make the change Mr. 176389820690383980 before cert… https://t.co/UX6EnZRowb	0.2641
13	Wikipedia Page for New Biden COVID Czar Got a Good Scrubbing https://t.co/26PPLrnI24	0.2641
14	me reading about covid numbers, terrible biden staffing choices, climate change predictions, etc. all in the same m… https://t.co/XkV4uqFxWC	0.2641
15	-6558680024584303865 the Biden team needs an anti-propaganda strategy...perhaps a new cabinet position to fight domestic and fo… https://t.co/kyk5biFiFl	0.2641
16	Wikipedia page for Biden's COVID-19 czar scrubbed of politically damaging material https://t.co/Of1Ni36sOX https://t.co/Yw5SbiSb24	0.2641
17	Joe Biden should show just how committed he is to tackling the climate crisis by tapping 3495456574053479751 to lead… https://t.co/HNJiniZjYs	0.2641
18	va 1086843961687710144 Biden calls climate change an ‘emergency.’ Now he’s under pressure to officially declare it one.:… https://t.co/JgBbCFGaCV	0.2641
19	"""Biden can further bolster the U.S. position in the international arena by effectively being the lead nation in con… https://t.co/p5CcT7lVoh"	0.2641
