Ranking:	Tweet:	Score:
0	I tell ya what... I'd believe Carole Baskin had nothing at all to do with her husband being fed to her tiger pets b… https://t.co/q21DJyLiRU	0.5477
1	2929825428604589928 -5936529923128308492 At least Trump doesn't do little boys and girls like Obama &amp; Biden and let's not forget Michel Obama's Husband.	0.5477
2	1833528101103045830 5334235558860840694 Your whole life is a waste! Please take your in unqualified husband, and fly off into the Rus… https://t.co/as3QeIn9Z3	0.5477
3	A poem for Ivanka Trump: Roses are red Violets are blue You're going to prison And your husband is, too. #IvankaForPrison	0.5477
4	3239301821898772428 2272189632812359654 -3413397931463716825 -4592351885585874342 Sen. Loeffler’s husband cuts $1 million check to pro-Trump super PAC The… https://t.co/oEtbYN5IcX	0.5477
5	Blowjob because Biden won! I love my husband. https://t.co/mXhTpZDt6M	0.5477
6	I didn’t know Lying Louise’s husband helped kill Sears!!?	0.5477
7	10.47.61 The gopīs of Vṛndāvana have given up the association of their husbands, sons and other family members, who… https://t.co/jumyaiJoop	0.5477
8	Kamala Harris Reveals Official Moniker For Her Husband, And Her Personal One - “The second gentleman.” HuffPost https://t.co/ZSwYRDjn4O	0.5185
9	Kamala Harris reveals official moniker for her husband, and her personal one https://t.co/oj2Oh3UVYf -1818286980303410812 https://t.co/wgADMlHcx9	0.5185
10	Vice president-elect Kamala Harris' husband, Doug Emhoff, will be the first man to serve as the spouse of the Vice… https://t.co/qWO1tLgPqL	0.5179
11	"Kamala Harris Has an Adorable Alternative to ""Second Gentleman"" for Her Husband Doug Emhoff - InStyle https://t.co/WHGEnHIgtB"	0.5164
12	"Jake Tapper asks Kamala Harris what her husband Doug Emhoff should be called ""I think the term has evolved into th… https://t.co/C1KhucZ3I0"	0.5164
13	In an interview with -7164286484669300777 Vice President-elect Kamala Harris says that her husband 4652529407556514180 will be c… https://t.co/lGkBy7AgF3	0.5164
14	Kamala Harris' husband, Doug Emhoff is partner at DLA Piper. Smartmatic’s CEO Antonio Mugica &amp; Lord Mark Malloch-Br… https://t.co/0ks1rNVVjr	0.5164
15	Human gaffe machine strikes again! Biden says the quiet part about Kamala Harris OUT LOUD during interview and LOL… https://t.co/B6CzLMu18J	0.3443
16	Human gaffe machine strikes again! Biden says the quiet part about Kamala Harris OUT LOUD during interview and LOL… https://t.co/6XayjspQBm	0.3443
17	Human gaffe machine strikes again! Biden says the quiet part about Kamala Harris OUT LOUD during interview and LOL… https://t.co/DSqLKX8Ahv	0.3443
18	Human gaffe machine strikes again! Biden says the quiet part about Kamala Harris OUT LOUD during interview and LOL… https://t.co/aOYmZ1lJ8u	0.3443
19	6917798914647472962 4379763097195622420 🚨🚨🚨 JOE BIDEN SAYS HE WILL STEP DOWN ONCE INAUGURATED SO KAMALA CAN BE PRESIDENT! (GET IN H… https://t.co/964pVKkFfB	0.33
